exponent,min_runtime_old,min_runtime_new
2144,0.0009933399996953085,0.00013912999565945938
2145,0.0010025800002040341,0.00013504000526154414
2146,0.0009593599970685318,0.0001347900033579208
2147,0.0010420990001875907,0.00013591999595519155
2148,0.005343869997886941,0.00014458000077866018
2149,0.0009788710012799129,0.00014954899961594492
2150,0.001062718998582568,0.00018847000319510698
2151,0.0008909999960451387,0.00012156000593677163
2152,0.0009721699971123599,0.0001381800029776059
2153,0.0009682600066298619,0.045795195997925475
2154,0.0009576500015100464,0.00015717000496806577
2155,0.0010727690023486502,0.0024680989954504184
2156,0.0010000299953389913,0.0001797199947759509
2157,0.0007842999984859489,0.00016696999955456704
2158,0.000972680005361326,0.0001475099998060614
2159,0.0011231709941057488,0.0002071209964924492
2160,0.0010511399959796108,0.00013269000191939995
2161,0.0009708900033729151,0.0001392699996358715
2162,0.0010141599996131845,0.00014188899513101205
2163,0.00101890999940224,0.00013776000560028479
2164,0.0010129999936907552,0.00014193999959388748
2165,0.0008063299974310212,0.00013433999993139878
2166,0.0006510300008812919,0.00011478999658720568
2167,0.0008120310012600385,0.0007450200064340606
2168,0.0008048599993344396,0.00013829000090481713
2169,0.0008285799995064735,0.0001471799987484701
2170,0.0008821899973554537,0.00015165000513661653
2171,0.0009228700000676326,0.00015193000581348315
2172,0.0008684600034030154,0.00018653999723028392
2173,0.0008881289977580309,0.0001539209988550283
2174,0.0008850900048855692,0.0001467400070396252
2175,0.0009260799997719005,0.00015053999959491193
2176,0.04943747600191273,0.00013564000255428255
2177,0.0008252300031017512,0.00014026999997440726
2178,0.0008335400052601472,0.00013578999642049894
2179,0.0007808499940438196,0.0001533799950266257
2180,0.0008125400054268539,0.00013203999696997926
2181,0.0008399799990002066,0.0001356409993604757
2182,0.000765910001064185,0.00013521000073524192
2183,0.0008010199962882325,0.010013500002969522
2184,0.01655495900195092,0.00013133000175002962
2185,0.0007810500028426759,0.00031895000574877486
2186,0.006961630002479069,0.00014546899910783395
2187,0.0007686500030104071,0.00013379000301938504
2188,0.0007899600022938102,0.00013451999984681606
2189,0.0007856199954403564,0.00013754899555351585
2190,0.0007720799985690974,0.00013588000001618639
2191,0.008902239002054557,0.00013468000543070957
2192,0.0007836500008124858,0.0001325900011579506
2193,0.0009116200017160736,0.0001380199973937124
2194,0.0007765699992887676,0.0001439300031051971
2195,0.000786769000114873,0.00023289999808184803
2196,0.0008382400046684779,0.00013650999608216807
2197,0.000848279996716883,0.0001394200007780455
2198,0.0008003900002222508,0.00026837000041268766
